iter	Passed	Remaining
653	1062	561
654	1063	560
655	1065	558
656	1066	556
657	1067	554
658	1068	552
659	1069	550
660	1070	548
661	1071	546
662	1072	545
663	1073	543
664	1074	541
665	1075	539
666	1076	537
667	1077	535
668	1078	533
669	1080	532
670	1081	530
671	1082	528
672	1083	526
673	1084	524
674	1085	522
675	1086	520
676	1087	518
677	1088	516
678	1089	515
679	1090	513
680	1091	511
681	1094	510
682	1095	508
683	1096	506
684	1097	504
685	1098	503
686	1099	501
687	1101	499
688	1102	497
689	1103	495
690	1104	493
691	1105	492
692	1106	490
693	1108	488
694	1109	486
695	1110	485
696	1111	483
697	1112	481
698	1113	479
699	1114	477
700	1115	475
701	1117	474
702	1118	472
703	1119	470
704	1120	469
705	1122	467
706	1123	465
707	1124	463
708	1125	462
709	1126	460
710	1127	458
711	1129	456
712	1130	455
713	1131	453
714	1132	451
715	1133	449
716	1134	447
717	1135	446
718	1171	457
719	1172	456
720	1174	454
721	1175	452
722	1176	450
723	1178	449
724	1179	447
725	1180	445
726	1182	443
727	1183	442
728	1186	441
729	1187	439
730	1189	437
731	1190	435
732	1192	434
733	1193	432
734	1194	430
735	1195	428
736	1197	427
737	1198	425
738	1202	424
739	1204	423
740	1205	421
741	1206	419
742	1208	417
743	1209	416
744	1210	414
745	1212	412
746	1213	410
747	1216	409
748	1217	408
749	1218	406
750	1220	404
751	1221	402
752	1222	401
753	1224	399
754	1225	397
755	1226	395
756	1228	394
757	1229	392
758	1231	390
759	1232	389
760	1236	388
761	1237	386
762	1240	385
763	1241	383
764	1242	381
765	1245	380
766	1246	378
767	1247	376
768	1249	375
769	1250	373
770	1252	372
771	1253	370
772	1255	368
773	1256	366
774	1257	365
775	1258	363
776	1260	361
777	1263	360
778	1264	358
779	1265	356
780	1266	355
781	1267	353
782	1268	351
783	1269	349
784	1271	348
785	1273	346
786	1294	350
787	1295	348
788	1297	346
789	1298	345
790	1299	343
791	1300	341
792	1301	339
793	1302	337
794	1304	336
795	1306	334
796	1307	332
797	1308	331
798	1309	329
799	1310	327
800	1311	325
801	1312	323
802	1313	322
803	1314	320
804	1315	318
805	1316	316
806	1317	315
807	1319	313
808	1320	311
809	1321	309
810	1322	308
811	1323	306
812	1324	304
813	1325	302
814	1326	301
815	1327	299
816	1328	297
817	1329	295
818	1330	294
819	1331	292
820	1333	290
821	1334	288
822	1335	287
823	1336	285
824	1338	283
825	1339	282
826	1340	280
827	1342	278
828	1343	277
829	1344	275
830	1345	273
831	1346	271
832	1347	270
833	1349	268
834	1350	266
835	1351	265
836	1352	263
837	1353	261
838	1354	259
839	1355	258
840	1356	256
841	1357	254
842	1358	253
843	1359	251
